trial,value,params
264,9.173746183059945,"{'alpha': 0.010000289306239257, 'l1_ratio': 0.8551924305112164}"
265,9.292246588906846,"{'alpha': 0.0707362759320306, 'l1_ratio': 0.15537476355707536}"
266,9.174259863047308,"{'alpha': 0.011433099900495226, 'l1_ratio': 0.8513783815597261}"
267,9.174159001309086,"{'alpha': 0.011401825995039817, 'l1_ratio': 0.8561888529653618}"
268,9.185876257879851,"{'alpha': 0.010035992860203463, 'l1_ratio': 0.26309741476389215}"
269,9.174384166638166,"{'alpha': 0.015486445317423445, 'l1_ratio': 0.8991946701229308}"
270,9.175493332205509,"{'alpha': 0.016374160442575614, 'l1_ratio': 0.8696688932068287}"
271,9.1751958881051,"{'alpha': 0.015604376593002124, 'l1_ratio': 0.8707675873968524}"
272,9.174331656178143,"{'alpha': 0.0153449972063205, 'l1_ratio': 0.8998350429377675}"
273,9.174226537244248,"{'alpha': 0.01263084222429998, 'l1_ratio': 0.8719103533365059}"
274,9.173618163015144,"{'alpha': 0.012374425251415619, 'l1_ratio': 0.8996132841032249}"
275,9.173301496069406,"{'alpha': 0.010048119407613746, 'l1_ratio': 0.8866210988191938}"
276,9.182331897406634,"{'alpha': 0.012591927004585071, 'l1_ratio': 0.5556521188136656}"
277,9.17332265819627,"{'alpha': 0.010020580896767656, 'l1_ratio': 0.8846033023835186}"
278,9.178476193577522,"{'alpha': 0.01004167036549184, 'l1_ratio': 0.6058753701554261}"
279,9.173353949333691,"{'alpha': 0.010152908147415558, 'l1_ratio': 0.8845150910191486}"
280,9.29920197938485,"{'alpha': 0.2224654571301696, 'l1_ratio': 0.8832130092386953}"
281,13.033076579195889,"{'alpha': 3.763009977030395, 'l1_ratio': 0.8822193936220802}"
282,9.179497990863027,"{'alpha': 0.011154357961579814, 'l1_ratio': 0.6074230105955623}"
283,9.173509461685846,"{'alpha': 0.010112651459207972, 'l1_ratio': 0.8730708744451655}"
284,9.174449641346314,"{'alpha': 0.01147892616606717, 'l1_ratio': 0.8423234766276844}"
285,9.173960392333559,"{'alpha': 0.01143022683693377, 'l1_ratio': 0.8674811407440036}"
286,9.174664959612144,"{'alpha': 0.013815174727717521, 'l1_ratio': 0.8686312297740335}"
287,9.175125795439524,"{'alpha': 0.01355309605961294, 'l1_ratio': 0.8459954284553731}"
288,9.174673499747646,"{'alpha': 0.013459183309835317, 'l1_ratio': 0.8634047710032209}"
289,9.174217673977116,"{'alpha': 0.01362864906922801, 'l1_ratio': 0.8854909644101984}"
290,9.174012265482686,"{'alpha': 0.012889567495280281, 'l1_ratio': 0.8858044709040672}"
